Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=PartNumber~String~PartNumber~100|Field=URL~String~URL~100|Field=PN~String~PN~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project_Power.PrjPcb|ReportField=ProjectFullPath~C:\Users\mfolz-cc\Desktop\Owncloud\ConestogaCollege\ESE\Engineering Project IV\Final Board\Feb_28\PCB_Project_Power\PCB_Project_Power.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project_Power.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~184|ReportField=ReportTime~2:22:45 PM|ReportField=ReportDate~4/28/2015|ReportField=ReportDateTime~4/28/2015 2:22:45 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.06:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~PCB_Project_Power.PrjPcb|ReportField=DataSourceFullPath~C:\Users\mfolz-cc\Desktop\Owncloud\ConestogaCollege\ESE\Engineering Project IV\Final Board\Feb_28\PCB_Project_Power\PCB_Project_Power.PrjPcb
RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 6.65K OHM 1% 1/8W 0805, RES SMD 6.65K OHM 1% 1/8W 0805, RES SMD 6.65K OHM 1% 1/8W 0805, RES SMD 19.6K OHM 1% 1/8W 0805, RES SMD 6.65K OHM 1% 1/8W 0805, RES SMD 32.4K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 0 OHM 5% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 4.75K OHM 1% 1/8W 0805, RES SMD 102R OHM 1% 1/8W 0805, RES SMD 102R OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 4.75K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 9.76M OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 9.76M OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 9.76M OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 0 OHM 5% 1/8W 0805, RES SMD 0 OHM 5% 1/8W 0805, RES SMD 698R OHM 1% 1/8W 0805, RES SMD 4.75K OHM 1% 1/8W 0805, RES SMD 4.75K OHM 1% 1/8W 0805, RES SMD 4.75K OHM 1% 1/8W 0805, RES SMD 698R OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 100K OHM 1% 1/8W 0805, RES SMD 100K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 2.87K OHM 1% 1/8W 0805, RES SMD 2.87K OHM 1% 1/8W 0805, RES SMD 2.87K OHM 1% 1/8W 0805, RES SMD 2.87K OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 10.0K OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 1.00K OHM 1% 1/8W 0805, RES SMD 100R OHM 1% 1/8W 0805|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R52_A, R52_D, R53_A, R53_D, R54, R55, R56, R57, R58, R59, RC_R1, RC_R2, Rp1|Resistor_10.0K, Resistor_10.0K, Resistor_6.65K, Resistor_6.65K, Resistor_6.65K, Resistor_19.6K, Resistor_6.65K, Resistor_32.4K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_0R_Jumper, Resistor_10.0K, Resistor_10.0K, Resistor_4.75K, Resistor_102R, Resistor_102R, Resistor_10.0K, Resistor_4.75K, Resistor_10.0K, Resistor_9.76M, Resistor_10.0K, Resistor_9.76M, Resistor_10.0K, Resistor_9.76M, Resistor_1.00K, Resistor_1.00K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_0R_Jumper, Resistor_0R_Jumper, Resistor_698R, Resistor_4.75K, Resistor_4.75K, Resistor_4.75K, Resistor_698R, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_100K, Resistor_100K, Resistor_10.0K, Resistor_2.87K, Resistor_2.87K, Resistor_2.87K, Resistor_2.87K, Resistor_1.00K, Resistor_1.00K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_10.0K, Resistor_1.00K, Resistor_1.00K, Resistor_100R|61|10.0K, 10.0K, 6.65K, 6.65K, 6.65K, 19.6K, 6.65K, 32.4K, 10.0K, 10.0K, 10.0K, 0R, 10.0K, 10.0K, 4.75K, 102R, 102R, 10.0K, 5.1k, 10.0K, 4.7k, 10.0K, 9.76M, 10.0K, 0, 0, 0, 10.0K, 10.0K, 10.0K, 10.0K, 0R, 0R, 698R, 4.75K, 4.75K, 4.75K, 698R, 10.0K, 10.0K, 10.0K, 10.0K, 10.0K, 10.0K, 10.0K, 100K, 100K, 10.0K, 2.87K, 2.87K, 10k, 10k, 1.00K, 1.00K, 10.0K, 10.0K, 10.0K, 10.0K, 1.00K, 1.00K, 100R||http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08056K65FKEA/541-6.65KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08056K65FKEA/541-6.65KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08056K65FKEA/541-6.65KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080519K6FKEA/541-19.6KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08056K65FKEA/541-6.65KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080532K4FKEA/541-32.4KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08050000Z0EA/541-0.0ACT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08054K75FKEA/541-4.75KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805102RFKEA/541-102CCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805102RFKEA/541-102CCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08054K75FKEA/541-4.75KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08059M76FKEA/541-9760MCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08059M76FKEA/541-9760MCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08059M76FKEA/541-9760MCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-1000KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08050000Z0EA/541-0.0ACT-ND, http://www.digikey.ca/product-detail/en/CRCW08050000Z0EA/541-0.0ACT-ND, http://www.digikey.ca/product-detail/en/CRCW0805698RFKEA/541-698CCT-ND, http://www.digikey.ca/product-detail/en/CRCW08054K75FKEA/541-4750KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08054K75FKEA/541-4750KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08054K75FKEA/541-4750KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805698RFKEA/541-698CCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805100KFKEA/541-100KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805100KFKEA/541-100KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08052K87FKEA/541-2870KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08052K87FKEA/541-2870KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08052K87FKEA/541-2870KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08052K87FKEA/541-2870KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1.00KCCT-ND, http://www.digikey.ca/product-detail/en/CRCW0805100RFKEA/541-100CCT-ND|541-1000KCCT-ND, 541-1000KCCT-ND, 541-6.65KCCT-ND, 541-6.65KCCT-ND, 541-6.65KCCT-ND, 541-19.6KCCT-ND, 541-6.65KCCT-ND, 541-32.4KCCT-ND, 541-1000KCCT-ND, 541-1000KCCT-ND, 541-1000KCCT-ND, 541-0.0ACT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-4.75KCCT-ND, 541-102CCT-ND, 541-102CCT-ND, 541-10.0KCCT-ND, 541-4.75KCCT-ND, 541-1000KCCT-ND, 541-9760MCCT-ND, 541-1000KCCT-ND, 541-9760MCCT-ND, 541-1000KCCT-ND, 541-9760MCCT-ND, 541-1.00KCCT-ND, 541-1.00KCCT-ND, 541-1000KCCT-ND, 541-1000KCCT-ND, 541-1000KCCT-ND, 541-1000KCCT-ND, 541-0.0ACT-ND, 541-0.0ACT-ND, 541-698CCT-ND, 541-4750KCCT-ND, 541-4750KCCT-ND, 541-4750KCCT-ND, 541-698CCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-100KCCT-ND, 541-100KCCT-ND, 541-10.0KCCT-ND, 541-2870KCCT-ND, 541-2870KCCT-ND, 541-2870KCCT-ND, 541-2870KCCT-ND, 541-1.00KCCT-ND, 541-1.00KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-10.0KCCT-ND, 541-1.00KCCT-ND, 541-1.00KCCT-ND, 541-100CCT-ND
RES SMD 10.0K OHM 1% 1/8W 0805|R50|Resistor_10.0K|1|10.0K||http://www.digikey.ca/product-detail/en/CRCW080510K0FKEA/541-10.0KCCT-ND|541-10.0KCCT-ND
RES SMD 1.00K OHM 1% 1/8W 0805|R51_A, R51_D|Resistor_1.00K|2|1.00K||http://www.digikey.ca/product-detail/en/CRCW08051K00FKEA/541-1000KCCT-ND|541-1000KCCT-ND
NPN General Purpose Amplifier|RC_T1, RC_T2, T1, T2|BC846B|4|||http://www.digikey.ca/product-detail/en/BC846B,215/568-1632-1-ND/763459|568-1632-1-ND
SWITCH TACTILE SPST-NO 0.05A 12V|Reset1|SWITCH_TACTILE|1|||http://www.digikey.ca/product-detail/en/PTS645SH50SMTR92%20LFS/CKN9085CT-ND|CKN9085CT-ND
Receptacle Assembly, 9 Position, Right Angle|RS1|D Connector 9|1|||http://www.digikey.ca/product-detail/en/ADF09A-KG-TASB3-R/AE10921-ND/1241800|AE10921-ND
1A SIMPLE SWITCHER®, Step-Down Voltage Regulator with Precision Enable, 8-pin PSOP, Pb-Free|SMPS-A1_A, SMPS-A1_D|LM22675MR-ADJ/NOPB|2||LM22675MR-ADJ/NOPB|http://www.digikey.ca/product-detail/en/LM22675MRE-ADJ%2FNOPB/LM22675MRE-ADJ%2FNOPBCT-ND|LM22675MRE-ADJ/NOPBCT-ND
Push-Pull Four Channel Driver With Diode|SM_H1|L293DD|1|||http://www.digikey.ca/product-detail/en/L293DD013TR/497-2937-1-ND/634902|497-2937-1-ND
Header, 3-Pin, Dual row|SPI1|Header 3X2|1||||
IC ACCELEROMETER 3AXIS LP 14LGA|U1|LIS352AR|1|||http://www.digikey.ca/product-detail/en/LIS352ARTR/497-11075-1-ND|497-11075-1-ND
IC OPAMP GP 1.5MHZ RRO 14SOIC|U2|LMC6484_0|1|||http://www.digikey.ca/product-detail/en/LMC6484IMX%2FNOPB/LMC6484IMX%2FNOPBCT-ND|LMC6484IMX/NOPBCT-ND
800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free|U4|LM1117IMP-ADJ/NOPB|1||LM1117IMP-ADJ/NOPB|http://www.digikey.ca/product-detail/en/LM1117MP-3.3%2FNOPB/LM1117MP-3.3%2FNOPBCT-ND|LM1117MP-3.3/NOPBCT-ND
IC INVERTER HEX SCHMITT 14SOIC|U5|74ACT14_3|1|||http://www.digikey.ca/product-detail/en/74ACT14SCX/74ACT14SCXCT-ND|74ACT14SCXCT-ND
IC MOTOR DRIVER PAR 20POWERSO|U?|L6225|1|||http://www.digikey.ca/product-detail/en/L6225PDTR/497-5345-1-ND|497-5345-1-ND
